path,bytes,sha256,reference_status,consumers,dimensions,provenance
ios/Nudge/Assets.xcassets/spiral_light_mist.imageset/spiral_light_mist.png,1223687,6a380ff5373a5eb0b642152221274a362ba394837fe0a599723428bbe659fe5a,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/standing_desk_workspace.imageset/standing_desk_workspace.png,1337997,f06105bf7e1069497dff79d076ae0a620720c26f4be2e04f0bc59e70b85467b5,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/terracotta_cream_sneakers.imageset/terracotta_cream_sneakers.png,1370544,c573761983bc70d00b7204f7c5e889b3e8cffb3f0a8557ae167da15ee1482bbf,source token matches,ios/Nudge/Models/LifeModels.swift; ios/Nudge/ViewModels/AppModel.swift; ios/Nudge/Views/Today/MomentCard.swift; web/src/sano/fixtures.ts; web/src/sano/lifeLibrary.ts; web/src/privia/Personal.tsx; web/src/sano/screens/Today.tsx; web/src/sano/screens/shared.tsx,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/thermometer_warmth.imageset/thermometer_warmth.png,1203196,1238a719c6a5317e2e4c3ae580719b6a9792580b925d6cc63f57af2148b284a8,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/thread_unwinding_light.imageset/thread_unwinding_light.png,1248882,87d3012383fa647817f24af5806b89c11c3ee5dc24d04fb0b5b921d0b8476ed6,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/tree_path_sunset_walk.imageset/tree_path_sunset_walk.png,2329058,7277748c79cc1caec9c22b1a472361ed3e4411346ac6decf5adb25ac1222819f,source token matches,ios/Nudge/ViewModels/AppModel.swift; ios/Nudge/Views/Life/LifeCatalogView.swift; web/src/sano/fixtures.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/vegetable_omelette_plate.imageset/vegetable_omelette_plate.png,1459302,d11aaa482785fd0d7c82162eeee835beab4506f3e4fd4eb7ba46a21d9bdbc190,source token matches,ios/Nudge/Models/LifeModels.swift; ios/Nudge/ViewModels/AppModel.swift; web/src/sano/fixtures.ts; web/src/sano/lifeLibrary.ts; web/src/sano/screens/shared.tsx,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/walking_shoes_stride.imageset/walking_shoes_stride.png,1380664,d670313ae5beec1fce84157197ee5ebd8b599160ab75622ffef87719c2f82007,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/water_ripples_goggles.imageset/water_ripples_goggles.png,1295009,810580dc2e655e1b951c848fdd8e8353ade3576087c7346ffec80e08b10d4bec,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/yoga_mat_bolster.imageset/yoga_mat_bolster.png,1582828,cc8296540eda4284e9a221b819151bc1c820c9902676d35c0394724f695cb7d2,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/yoga_mat_rolled.imageset/yoga_mat_rolled.png,1282302,f882516694d33ab9a0c31ddfadcfa77a4b8dd59b665a5cd8399150d7f5de3fb6,source token matches,ios/Nudge/Models/LifeModels.swift; ios/Nudge/ViewModels/AppModel.swift; ios/Nudge/Views/Log/QuickLogView.swift; web/src/sano/fixtures.ts; web/src/sano/lifeLibrary.ts; web/src/sano/screens/QuickLog.tsx; web/src/sano/screens/shared.tsx,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/yogurt_parfait_glass.imageset/yogurt_parfait_glass.png,1318866,fb4c2df08ed8b583de38ea51beeeadc2583417ce614bd3f5a5eb0a41f4c5d6df,source token matches,ios/Nudge/Models/LifeModels.swift; ios/Nudge/ViewModels/AppModel.swift; web/src/sano/fixtures.ts; web/src/sano/lifeLibrary.ts; web/src/sano/screens/shared.tsx,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Resources/music_ambient_bed.mp3,353219,49e59dbde40a3e589c2989137d45e960b08ae347d1cc6d222e34a4af9f64ac4f,no static token match; dynamic/persisted references may exist,,,Not established by packaging; see handoff family notes
ios/Nudge/Resources/music_barley_thunder.m4a,2428728,2178ff8b508e416c2597f3a993c7c078fc612dc5305ccabbf6c55fb5f8409d41,source token matches,ios/Nudge/Services/SoundEngine.swift; web/src/sano/sound.ts,,Not established by packaging; see handoff family notes
ios/Nudge/Resources/music_recap.mp3,353219,ff581017b92d18ecb894e2843ededbc7d378ef62c081301c987f6ac749ed0565,source token matches,ios/Nudge/Services/SoundEngine.swift,,Not established by packaging; see handoff family notes
ios/Nudge/Resources/music_stone_kintsugi.m4a,2392317,2b3379f43e36cf310d331ef01160644a11197e65e8209d56631d2d8b425f1ee7,source token matches,ios/Nudge/Services/SoundEngine.swift; ios/Nudge/Views/Currents/CurrentsPlayerSheets.swift; web/src/sano/sound.ts,,Not established by packaging; see handoff family notes
ios/Nudge/Resources/orb_bloom.mp4,162502,413a4cae6620ebd0a53ad78f8c9d307b003cbb718d41f87c6902a4adbd69abb5,source token matches,ios/Nudge/Views/Components/VideoOrbView.swift; web/src/sano/ui/Orb.tsx,,Not established by packaging; see handoff family notes
ios/Nudge/Resources/orb_day.mp4,189378,b6321e7e4735f7e72cf5ad97826a5b40c2f08338a9f7f4a9e6c3ff88ccd8e90f,source token matches,ios/Nudge/Views/Components/VideoOrbView.swift; web/src/sano/ui/Orb.tsx,,Not established by packaging; see handoff family notes
ios/Nudge/Resources/orb_night.mp4,60333,451e0ae3bed3779d121c2e4a57f11c80471e5e7e7882cd3e1bf60a54e06a918b,source token matches,ios/Nudge/Views/Components/VideoOrbView.swift; web/src/sano/ui/Orb.tsx,,Not established by packaging; see handoff family notes
ios/Nudge/Resources/orb_speak.mp4,239480,350d5aedc38112916de8b6e54663fab1269a9b1d0a14551f358061785c6825cf,source token matches,ios/Nudge/Views/Components/VideoOrbView.swift; web/src/sano/ui/Orb.tsx,,Not established by packaging; see handoff family notes
ios/Nudge/Resources/orb_think.mp4,588619,f1779701d4519080663e5a572c1d7192bed5bceeaabdd9fdeb7ed2f263e75077,source token matches,ios/Nudge/Views/Components/VideoOrbView.swift; ios/Nudge/Views/Currents/CurrentsPlayerSheets.swift; web/src/sano/ui/Orb.tsx,,Not established by packaging; see handoff family notes
ios/Nudge/Resources/sfx_bloom.mp3,40586,93a6865839448f2b3cfc0bd8c4a82ac693a3a3f4c4ac8556686d989683e90bca,source token matches,ios/Nudge/Services/SoundEngine.swift; web/src/sano/sound.ts,,Not established by packaging; see handoff family notes
